GEO,Traveller type,VALUE
Alberta,Excursionists (same-day),8528677
Alberta,Tourists (overnight),136947710
British Columbia,Excursionists (same-day),355328711
British Columbia,Tourists (overnight),416159748
Manitoba,Excursionists (same-day),24485605
Manitoba,Tourists (overnight),39637853
New Brunswick,Excursionists (same-day),106147179
New Brunswick,Tourists (overnight),29955255
Newfoundland and Labrador,Excursionists (same-day),641135
Newfoundland and Labrador,Tourists (overnight),3659713
Northwest Territories,Excursionists (same-day),1101
Northwest Territories,Tourists (overnight),1701
Nova Scotia,Excursionists (same-day),665123
Nova Scotia,Tourists (overnight),16285103
Nunavut,Excursionists (same-day),31843
Nunavut,Tourists (overnight),106667
Ontario,Excursionists (same-day),682022078
Ontario,Tourists (overnight),872545619
Prince Edward Island,Excursionists (same-day),17802
Prince Edward Island,Tourists (overnight),194376
Quebec,Excursionists (same-day),85645770
Quebec,Tourists (overnight),336087455
Saskatchewan,Excursionists (same-day),6205247
Saskatchewan,Tourists (overnight),15851521
Yukon,Excursionists (same-day),8793745
Yukon,Tourists (overnight),6625594
